Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,4,4,10,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,3,3,7,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,4,2,9,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,3,4,10,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,3,4,29,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,3,4,28,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,3,2,17,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,3,3,21,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,3,3,6,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,3,3,25,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,3,4,5,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,3,1,2,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,3,4,20,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4,4,6,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,3,2,1,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,3,2,10,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,3,2,5,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,4,4,11,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,3,2,16,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,3,2,17,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,3,1,16,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,4,4,16,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,3,3,10,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,3,1,6,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,3,4,24,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,3,4,17,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,3,3,5,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,3,1,37,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,3,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,4,2,10,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,3,1,11,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,3,4,9,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,4,4,22,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,4,4,11,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,3,2,11,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3,3,21,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,3,1,12,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,3,1,16,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,4,1,4,2,3,2,0,2
28,No,Non-Travel,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,3,2,5,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,3,3,38,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,3,3,17,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,4,4,7,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,3,4,1,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,3,2,1,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,3,3,16,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,3,4,17,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,4,4,30,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,3,1,28,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,3,4,6,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,3,3,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871,3,3,1,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,4,3,23,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074,4,4,9,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,3,3,23,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,3,3,6,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505,3,3,12,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,3,1,12,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,3,4,14,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,3,3,10,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,4,1,7,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959,3,4,25,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,4,3,10,2,10,7,0,9
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,3,1,8,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963,3,1,7,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,3,3,23,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,3,2,12,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,3,3,5,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3,4,40,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675,3,4,0,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,3,3,3,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567,3,3,16,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739,3,4,18,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,3,4,16,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,3,3,4,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189,3,3,12,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,4,4,8,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,4,4,7,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,3,4,18,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902,3,3,17,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639,3,4,6,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,6347,3,4,12,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,4200,4,1,10,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,3452,3,2,9,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317,4,2,19,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,2632,3,3,5,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,4668,3,4,9,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204,3,4,8,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,2,Male,35,2,1,Laboratory Technician,4,Single,2720,3,4,6,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,17181,3,2,21,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,94,3,1,Laboratory Technician,1,Married,2238,4,4,7,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,1483,3,4,1,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,3,Medical,2,Female,54,3,2,Research Scientist,2,Divorced,5605,3,1,20,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,3,Male,94,3,3,Sales Executive,2,Married,7295,3,1,10,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,2,Marketing,2,Male,34,3,2,Sales Representative,3,Married,2306,4,4,13,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,2348,3,3,20,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,2,Female,43,3,3,Sales Executive,4,Single,8998,3,4,9,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,41,3,2,Manufacturing Director,3,Married,4319,3,1,10,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,4,Medical,2,Male,34,2,2,Manufacturing Director,3,Married,6132,3,3,10,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,3346,4,2,9,2,1,0,0,0
40,No,Travel_Rarely,Sales,4,4,Marketing,3,Male,67,2,3,Sales Executive,4,Married,10855,3,1,15,2,12,11,2,11
34,No,Travel_Frequently,Sales,2,4,Marketing,3,Female,75,3,1,Sales Representative,3,Married,2231,3,4,6,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,2323,4,1,2,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,4,Male,57,3,1,Research Scientist,2,Divorced,2024,3,4,6,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Medical,3,Male,42,3,1,Research Scientist,4,Married,2713,3,3,5,1,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,83,4,3,Healthcare Representative,4,Divorced,9439,3,2,12,1,5,3,1,4
27,No,Non-Travel,Research & Development,3,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,2566,3,4,1,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,19926,3,2,21,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,56,3,1,Research Scientist,3,Divorced,2451,3,1,13,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,41,3,3,Sales Executive,4,Married,9419,3,3,12,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,8686,4,3,12,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,43,3,1,Research Scientist,3,Single,3038,4,1,8,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,51,3,1,Research Scientist,2,Married,3058,3,4,6,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,2325,4,1,1,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,2088,3,3,13,2,8,7,7,2
30,No,Non-Travel,Research & Development,9,3,Medical,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,3,3,12,3,12,9,6,10
45,No,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,30,3,2,Sales Executive,1,Divorced,5006,3,1,9,4,5,4,0,3
56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,67,3,1,Research Scientist,1,Divorced,4257,3,3,19,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,2500,3,1,4,4,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102,4,3,1,2,1,0,1,0
46,No,Travel_Rarely,Sales,1,2,Marketing,2,Female,92,3,3,Sales Executive,1,Divorced,10453,4,3,24,3,24,13,15,7
38,No,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,2288,3,3,2,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,12,1,Medical,3,Female,95,3,1,Research Scientist,4,Married,3929,4,3,7,3,4,2,0,2
34,No,Travel_Rarely,Research & Development,27,2,Medical,4,Female,95,3,1,Research Scientist,2,Single,2311,3,4,9,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,20,2,Marketing,2,Female,70,3,1,Sales Representative,2,Single,3140,4,4,4,2,4,3,0,2
50,No,Travel_Rarely,Research & Development,1,3,Medical,3,Male,86,2,1,Laboratory Technician,3,Married,3690,3,4,5,2,3,2,0,2
53,No,Travel_Rarely,Research & Development,13,2,Medical,4,Female,57,4,2,Manufacturing Director,1,Divorced,4450,3,3,5,3,4,2,1,3
33,No,Travel_Rarely,Research & Development,14,3,Medical,4,Female,72,3,1,Research Scientist,2,Married,2756,3,4,8,3,8,7,1,6
40,No,Travel_Rarely,Research & Development,4,1,Medical,4,Female,46,3,5,Manager,3,Married,19033,3,2,21,3,20,8,9,9
55,No,Travel_Rarely,Research & Development,14,4,Medical,3,Male,61,4,5,Research Director,2,Single,18722,3,4,36,3,24,15,2,15
34,No,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,45,2,2,Manufacturing Director,3,Married,9547,3,3,10,2,10,9,1,9
51,No,Travel_Rarely,Research & Development,3,3,Medical,4,Female,98,3,4,Healthcare Representative,2,Single,13734,3,3,21,3,7,7,1,0
52,No,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,65,2,5,Manager,3,Married,19999,3,1,34,3,33,18,11,9
